Дата и время,Время обработки (сек),Размер до (Кб),Размер после (Кб),Степень сжатия,Ширина,Высота
2025-05-11 14:11:12,12.674669981002808,1754.59,1581.75,2,3500,2385
2025-05-11 14:13:04,12.650140523910522,1754.59,1259.76,5,3500,2385
2025-05-11 14:13:18,13.364103078842163,1754.59,1259.76,5,3500,2385
2025-05-11 14:14:22,12.50522780418396,1754.59,1030.15,7,3500,2385
2025-05-11 14:15:11,22.32241463661194,6860.5,980.25,2,5120,2880
2025-05-11 14:16:13,23.400200605392456,6860.5,837.09,5,5120,2880
2025-05-11 14:17:25,21.80457377433777,6860.5,740.75,7,5120,2880
2025-05-11 14:18:11,3.6232283115386963,2288.86,281.88,2,2048,1152
2025-05-11 14:18:39,3.5035910606384277,2288.86,241.22,5,2048,1152
2025-05-11 14:19:12,3.583808183670044,2288.86,241.22,5,2048,1152
2025-05-11 14:19:39,3.5498950481414795,2288.86,207.49,7,2048,1152
2025-05-11 14:20:26,5.55111289024353,2745.0,421.69,2,1440,2560
2025-05-11 14:20:58,5.618649005889893,2745.0,362.53,5,1440,2560
2025-05-11 14:21:31,5.535349607467651,2745.0,305.23,7,1440,2560
2025-05-11 14:26:02,13.991272687911987,1745.58,1664.48,2,3840,2400
2025-05-11 14:26:48,14.052353382110596,1745.58,1497.5,5,3840,2400
2025-05-11 14:27:24,13.968198299407959,1745.58,1318.5,7,3840,2400
2025-05-11 14:29:28,21.942471265792847,3683.08,1055.16,2,5120,2880
2025-05-11 14:30:17,21.64724564552307,3683.08,863.06,5,5120,2880
2025-05-11 14:31:30,21.72666907310486,3683.08,726.98,7,5120,2880
2025-05-11 14:32:54,51.278871297836304,10064.11,8599.84,2,7680,4320
2025-05-11 14:34:27,51.691771507263184,10064.11,6701.88,5,7680,4320
2025-05-11 14:35:44,50.79925513267517,10064.11,5196.33,7,7680,4320
2025-05-11 14:36:22,6.147278308868408,999.12,547.01,2,2560,1600
2025-05-11 14:36:53,6.008991956710815,999.12,448.3,5,2560,1600
2025-05-11 14:37:18,6.021066188812256,999.12,390.05,7,2560,1600
2025-05-11 14:38:11,24.396833419799805,1258.02,1172.49,2,5120,3200
2025-05-11 14:39:40,24.163036108016968,1258.02,1022.43,5,5120,3200
2025-05-11 14:40:24,24.107359409332275,1258.02,910.77,7,5120,3200
2025-05-11 14:41:19,12.205652713775635,1903.22,648.21,2,3840,2160
2025-05-11 14:42:01,12.297592401504517,1903.22,576.27,5,3840,2160
2025-05-11 14:42:45,12.149235725402832,1903.22,508.4,7,3840,2160
2025-05-11 14:43:28,13.856860637664795,3414.73,977.16,2,3840,2400
2025-05-11 14:44:08,13.72581696510315,3414.73,825.26,5,3840,2400
2025-05-11 14:44:52,13.703747272491455,3414.73,690.85,7,3840,2400
2025-05-11 14:46:24,49.00907516479492,6705.57,1603.21,2,7680,4320
2025-05-11 14:47:50,49.034918546676636,6705.57,1040.22,5,7680,4320
2025-05-11 14:49:13,49.15002703666687,6705.57,965.78,7,7680,4320
2025-05-11 14:50:00,22.064728498458862,4566.3,1077.42,2,5120,2880
2025-05-11 14:50:44,22.056238651275635,4566.3,958.51,5,5120,2880
2025-05-11 14:51:43,21.833899974822998,4566.3,858.2,7,5120,2880
2025-05-11 14:54:06,41.57549047470093,9068.69,3607.46,2,6350,4285
2025-05-11 14:55:15,41.37250471115112,9068.69,3281.18,5,6350,4285
2025-05-11 14:56:25,40.98136520385742,9068.69,2888.71,7,6350,4285
2025-05-11 14:57:37,12.334129571914673,1599.1,620.09,2,3840,2160
2025-05-11 14:58:17,12.118306398391724,1599.1,526.99,5,3840,2160
2025-05-11 14:58:57,12.192923069000244,1599.1,455.77,7,3840,2160
2025-05-11 14:59:52,21.872183561325073,5138.39,919.58,2,5120,2880
2025-05-11 15:00:48,21.6443612575531,5138.39,800.32,5,5120,2880
2025-05-11 15:01:33,21.718650579452515,5138.39,703.01,7,5120,2880
2025-05-11 15:02:21,12.102684736251831,1187.25,632.94,2,3840,2160
2025-05-11 15:03:18,12.157776594161987,1187.25,446.8,5,3840,2160
2025-05-11 15:03:59,12.137284755706787,1187.25,363.39,7,3840,2160
2025-05-11 15:07:34,11.981886625289917,3318.69,650.59,2,3840,2160
2025-05-11 15:08:15,11.894016742706299,3318.69,556.12,5,3840,2160
2025-05-11 15:09:21,11.883619785308838,3318.69,475.7,7,3840,2160
2025-05-11 15:10:13,11.8671555519104,3318.69,475.7,7,3840,2160
2025-05-11 15:10:54,11.877967119216919,3386.16,883.6,2,3840,2160
2025-05-11 15:11:33,11.934275388717651,3386.16,730.29,5,3840,2160
2025-05-11 15:12:06,11.751675844192505,3386.16,617.94,7,3840,2160
2025-05-12 06:31:26,35.264638900756836,3318.69,1270.33,2,3840,2160
2025-05-12 06:33:25,34.404670000076294,3318.69,998.89,7,3840,2160
2025-05-12 06:34:45,34.94213342666626,3318.69,1134.47,5,3840,2160
2025-05-12 07:01:16,6.5838377475738525,3318.69,617.83,2,3840,2160
2025-05-12 07:24:40,4.625688791275024,3318.69,715.68,2,3840,2160
2025-05-12 07:29:01,12.56644082069397,3318.69,475.7,7,3840,2160
2025-06-10 08:59:07,6.783704042434692,404.31,82.92,2,2218,1247
2025-06-10 09:01:03,80.25776076316833,6705.57,1603.48,2,7680,4320
2025-06-10 09:02:08,35.449440479278564,4566.3,1077.59,2,5120,2880
2025-06-10 09:03:56,65.50525736808777,9068.69,3607.05,2,6350,4285
2025-06-10 09:09:24,19.825384855270386,1599.1,620.08,2,3840,2160
2025-06-10 09:10:30,34.7825243473053,5138.39,919.78,2,5120,2880
2025-06-10 09:11:14,19.582341194152832,662.47,219.04,2,3840,2160
2025-06-10 09:11:58,19.400216341018677,1187.25,632.96,2,3840,2160
2025-06-10 09:12:37,19.713554859161377,3318.69,650.54,2,3840,2160
2025-06-10 09:13:15,19.61388659477234,3386.16,883.77,2,3840,2160
2025-06-10 09:14:23,35.535006046295166,6860.5,980.89,2,5120,2880
2025-06-10 09:14:47,5.755955934524536,2288.86,281.94,2,2048,1152
2025-06-10 09:15:22,8.794674396514893,2745.0,421.9,2,1440,2560
2025-06-10 09:15:58,22.333555936813354,1745.58,1664.63,2,3840,2400
2025-06-10 09:16:52,35.1472544670105,3683.08,1055.18,2,5120,2880
2025-06-10 09:18:32,82.15705442428589,10064.11,8598.95,2,7680,4320
2025-06-10 09:19:24,22.381669998168945,3414.73,977.16,2,3840,2400
2025-06-10 09:20:15,20.230554342269897,1754.59,1581.41,2,3500,2385
